NAME,AGE,YEAR,EARNINGS,CUP,EVNTS,RNDS,CUTS,TOP10,WINS,SCORE,DDIS,DACC,GIR,PUTTS,SAND,BIRDS
Bill Haas,41,2020,"$130,293 ",59,0,44,7,0,0,70.9,294.3,61.3,69.4,1.811,50.8,3.636
Alex Cejka,53,2020,"$129,518 ",62,0,27,7,0,0,70.4,0,0,0,0,0,0
Boo Weekley,50,2020,"$126,475 ",69,0,14,2,0,0,69.7,0,0,0,0,0,0
Michael Gellerman,--,2020,"$125,992 ",61,0,42,7,0,0,71,293.5,62.5,68.3,1.783,33.3,3.69
Rafael Campos,35,2020,"$119,257 ",60,0,29,5,0,0,71.2,0,0,0,0,0,0
John Huh,33,2020,"$104,504 ",46,0,26,5,0,0,70.3,0,0,0,0,0,0
Ben Taylor,31,2020,"$99,775 ",54,0,42,4,0,0,70.9,295.2,57.9,68.9,1.808,49.1,3.357
Jamie Lovemark,36,2020,"$98,439 ",53,0,28,3,0,0,71.2,0,0,0,0,0,0
Martin Trainer,32,2020,"$89,482 ",31,0,46,2,0,0,74.3,302.1,48.1,52.1,1.81,47.9,2.891
Satoshi Kodaira,34,2020,"$82,878 ",26,0,31,4,0,0,72.5,0,0,0,0,0,0
Jerry Kelly,57,2020,"$78,327 ",47,0,8,0,0,0,69.9,0,0,0,0,0,0
Ben Crane,48,2020,"$71,831 ",41,0,17,3,0,0,70.1,0,0,0,0,0,0
Arjun Atwal,50,2020,"$63,252 ",32,0,31,5,0,0,70.8,286.5,66.5,66.5,1.806,50,3.452
Anirban Lahiri,36,2020,"$58,388 ",27,0,35,5,0,0,70.7,294.4,60.7,68.1,1.767,51.7,4.2
Bo Van Pelt,48,2020,"$50,838 ",15,0,43,4,0,0,72.7,291.7,59.2,65.1,1.827,25.9,2.977
Johnson Wagner,43,2020,"$46,925 ",20,0,25,3,0,0,70.8,0,0,0,0,0,0
Tommy Gainey,48,2020,"$46,706 ",23,0,14,2,0,0,71.8,0,0,0,0,0,0
Nelson Ledesma,--,2020,"$45,520 ",27,0,40,3,0,0,71.7,298.2,51,62.6,1.761,48.1,3.6
Morgan Hoffmann,34,2020,"$44,850 ",24,0,10,1,0,0,70.4,0,0,0,0,0,0
Carl Pettersson,46,2020,"$43,245 ",18,0,6,1,0,0,73.7,0,0,0,0,0,0
John Merrick,41,2020,"$40,707 ",27,0,16,2,0,0,70.8,0,0,0,0,0,0
Sangmoon Bae,37,2020,"$37,910 ",26,0,20,3,0,0,71.9,0,0,0,0,0,0
Robert Garrigus,46,2020,"$37,571 ",12,0,23,3,0,0,72,0,0,0,0,0,0
Davis Love III,59,2020,"$35,025 ",10,0,24,0,0,0,72.5,0,0,0,0,0,0
Graham DeLaet,42,2020,"$31,359 ",8,0,14,2,0,0,72.1,0,0,0,0,0,0
David Lingmerth,36,2020,"$29,768 ",16,0,23,2,0,0,72,0,0,0,0,0,0
John Senden,52,2020,"$29,508 ",9,0,31,3,0,0,72.3,0,0,0,0,0,0
J.J. Henry,48,2020,"$23,160 ",7,0,23,2,0,0,72,0,0,0,0,0,0
Lucas Bjerregaard,32,2020,"$21,825 ",10,0,23,1,0,0,72.2,0,0,0,0,0,0
Vijay Singh,61,2020,"$20,088 ",4,0,18,0,0,0,73.1,0,0,0,0,0,0
Daniel Chopra,50,2020,"$20,004 ",5,0,14,2,0,0,73.3,0,0,0,0,0,0
Sean O'Hair,41,2020,"$19,204 ",8,0,6,1,0,0,71.7,0,0,0,0,0,0
William McGirt,44,2020,"$19,158 ",3,0,4,1,0,0,75.3,0,0,0,0,0,0
Vince Covello,--,2020,"$19,035 ",8,0,22,1,0,0,71.2,0,0,0,0,0,0
Ernie Els,54,2020,"$18,673 ",9,0,6,0,0,0,70.5,0,0,0,0,0,0
Rod Pampling,54,2020,"$18,338 ",15,0,11,1,0,0,70.4,0,0,0,0,0,0
Rich Beem,53,2020,"$17,400 ",6,0,8,1,0,0,72.9,0,0,0,0,0,0
Michael Kim,30,2020,"$17,258 ",3,0,26,1,0,0,72.8,0,0,0,0,0,0
Bernhard Langer,66,2020,"$16,117 ",5,0,6,0,0,0,69.3,0,0,0,0,0,0
Greg Chalmers,50,2020,"$15,614 ",4,0,20,1,0,0,71.9,0,0,0,0,0,0
Tim Herron,54,2020,"$15,494 ",6,0,15,1,0,0,72.1,0,0,0,0,0,0
Derek Ernst,33,2020,"$14,205 ",8,0,16,2,0,0,71.4,0,0,0,0,0,0
Chris Couch,50,2020,"$13,700 ",11,0,4,1,0,0,69.8,0,0,0,0,0,0
Brian Davis,49,2020,"$7,665 ",3,0,4,1,0,0,72.5,0,0,0,0,0,0
Dicky Pride,54,2020,"$7,595 ",3,0,0,1,0,0,0,0,0,0,0,0,0
Omar Uresti,55,2020,"$7,455 ",2,0,4,0,0,0,73,0,0,0,0,0,0
Ted Purdy,50,2020,"$6,780 ",3,0,8,1,0,0,72.6,0,0,0,0,0,0
Parker McLachlin,44,2020,"$6,450 ",2,0,14,1,0,0,72.3,0,0,0,0,0,0
Brendon de Jonge,43,2020,"$6,450 ",2,0,12,1,0,0,72.3,0,0,0,0,0,0
Carlos Franco,58,2020,"$6,390 ",2,0,6,1,0,0,72.2,0,0,0,0,0,0
Brooks Koepka,33,2019,"$9,684,006 ",-13,21,74,20,9,3,69.2,309,61.8,70,1.752,58.4,4.284
Rory McIlroy,34,2019,"$7,785,286 ",-18,19,68,17,14,3,69,313.5,61.8,68.5,1.701,55.3,4.485
Matt Kuchar,45,2019,"$6,294,690 ",-1,22,80,20,8,2,69.6,289.5,67.4,69.4,1.748,60.8,4.013
Patrick Cantlay,32,2019,"$6,121,488 ",1,21,72,18,9,1,69.2,304.7,57.3,67.2,1.721,58,4.403
